Email,Gender,Age,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
student28@university.com,Female,21,62.44,57.7,94.1,99.87,64.16,8.18,64.65,63.74,F
student29@university.com,Female,23,61.73,48.02,70.38,70.3,99.95,1.69,54.18,82.09,D
student30@university.com,Female,22,59.64,86.31,44.03,60.61,66.37,8.03,74.39,74.94,D
student31@university.com,Male,22,78.74,53.05,48.48,81.44,71.14,8.41,52.74,81.19,A
student32@university.com,Female,21,66.41,53.42,58.54,62.21,99.5,6.91,99.92,71.79,A
student33@university.com,Male,19,91.02,56.5,42.61,74.7,68.47,6.57,67.92,76.55,F
student34@university.com,Female,21,59.2,75.21,58.56,74.13,68.31,4.41,97.92,99.42,F
student35@university.com,Female,23,73.23,79.58,43.6,72.68,91.39,6.42,88.66,66.47,F
student36@university.com,Female,18,50.68,41.06,54.16,89.8,65.6,7.38,70.56,60.82,B
student37@university.com,Male,21,74.08,54.51,55.94,60.83,61.69,1.23,55.92,72.42,F
student38@university.com,Male,18,52.79,65.86,99.66,95.22,71.16,2.57,61.86,76.22,B
student39@university.com,Female,23,98.89,59.92,54.13,89.57,85.03,1.94,83.65,54.28,B
student40@university.com,Male,24,89.53,93.05,54.35,66.66,52.16,8.41,91.5,90.3,A
student41@university.com,Male,23,74.51,87.26,81.21,59.03,68.7,6.8,98.97,71.1,C
student42@university.com,Male,20,54.33,77.55,91.56,63.98,67.31,4.51,56.61,70.66,D
student43@university.com,Male,18,79.62,60.28,63.22,66.63,62.24,8.26,57.8,82.94,D
student44@university.com,Male,22,87.94,82.04,92.54,77.85,82.71,7.17,52.12,88.66,A
student45@university.com,Male,21,59.54,90.62,60.41,52.32,64.5,9.14,63.02,99.3,A
student46@university.com,Male,24,78.41,75.69,51.82,95.72,80.34,0.77,91.05,58.68,F
student47@university.com,Female,23,90.71,87.07,59.78,54.93,75.22,5.09,59.91,67.28,F
student48@university.com,Male,18,88.41,84.95,76.56,63.96,60.86,7.07,77.39,58.41,F
student49@university.com,Male,24,90.15,74.3,62.03,55.46,63.33,2.07,72.32,94.04,B
student50@university.com,Female,19,93.97,58.73,80.37,62.83,58.53,3.27,66.29,77.42,B
student51@university.com,Female,20,96.88,84.75,54.22,91.88,52.83,4.19,80.92,92.62,F
student52@university.com,Female,19,70.28,52.41,82.06,80.76,80.96,7.94,75.12,99.26,B
student53@university.com,Female,23,78.44,86.77,60.85,61.37,83.64,4.94,66.74,77.51,A
student54@university.com,Male,19,89.53,88.27,67.35,93.59,58.3,4.93,84.44,55.91,F
student55@university.com,Female,19,84.86,89.33,73.46,90.04,80.77,4.31,64,68.06,D
student56@university.com,Female,20,99.78,68.37,81.17,87.68,99.1,2.29,82.16,51.81,D
student57@university.com,Male,20,50.68,51.55,54.32,92.38,53.72,9.23,97.86,92.47,B
student58@university.com,Male,20,67.76,45.98,90.16,80.98,74.52,3.18,86.45,50.89,D
student59@university.com,Male,24,64.05,84.6,83.31,75.07,86.65,5.67,70.92,79.61,F
student60@university.com,Female,20,63.12,93.18,54.05,68.7,52.3,1.49,87.38,55.31,D
student61@university.com,Male,19,61.13,79.05,98.5,61.19,88.91,4.34,90.46,50.38,A
student62@university.com,Female,22,85.46,48.65,79.89,77.87,98.98,9.04,66.29,62.81,B
student63@university.com,Male,22,54.24,96.09,67.15,94.47,54.42,9.95,85.26,77.59,D
student64@university.com,Male,20,87.08,99.35,49.45,79.7,91.11,3.62,71.72,53.75,B
student65@university.com,Female,24,84.67,66,71.99,95.98,68.93,1.54,90.93,80.74,A
student66@university.com,Male,21,62.54,75.69,49.89,67.85,57.21,3.14,64.77,83.6,D
student67@university.com,Male,18,62.64,86.63,65.77,84.76,74.66,3.27,96.89,98.48,F
student68@university.com,Male,23,81.44,84.18,64.52,82.43,53.58,6.45,78.74,94.98,C
student69@university.com,Male,24,88.11,98.07,83.2,83.52,76.11,4.96,67.67,78.34,D
student70@university.com,Male,21,93.82,46.89,51.54,82.25,50.97,7.68,70.97,89.67,A
student71@university.com,Female,23,92.61,74.84,89.31,61.08,86.43,7.01,67.39,68.18,C
student72@university.com,Female,21,98.24,81.52,59.57,57.18,74.4,2.51,57.31,79.29,D
student73@university.com,Male,21,79.07,93.41,66.64,98.93,72.95,7.84,53.42,70.17,B
student74@university.com,Female,22,95.43,92.45,86.34,52.26,59.81,8.47,66.09,66.85,A
student75@university.com,Female,18,90.43,98.68,77.52,73.39,68.06,5.98,72.93,86.38,D
student76@university.com,Female,21,94.73,70.72,58.48,71.25,59.09,9.28,68.09,64.83,A
student77@university.com,Male,20,50.58,89.85,63.17,68,86.77,7.83,50.7,69.03,F
student78@university.com,Male,23,98.3,65.64,58.35,89.1,59.95,5.95,78.95,68.36,C
student79@university.com,Male,24,73.68,65.34,75.69,87.27,80.84,9.06,57.24,93.52,C
student80@university.com,Female,22,89.91,55.2,59.96,95.26,63.98,6,60.55,58.52,F
student81@university.com,Female,23,56.36,89.09,83.54,69.77,82.85,5.21,56.04,69.07,C
student82@university.com,Male,20,69.8,99.15,74.79,78.21,77.02,3.56,76.02,94.39,C
student83@university.com,Male,20,63.57,55.38,48.74,94.62,71.17,8.83,54.76,50.77,F
student84@university.com,Female,21,64.58,43.37,58.62,99.69,83.65,1.23,62.82,97.39,B
student85@university.com,Female,20,56.16,88.93,53.29,98.46,70.79,4.74,72.59,94.95,C
student86@university.com,Male,18,90.29,77.21,63.42,85.89,91.07,5.37,58.39,70.89,B
student87@university.com,Female,20,50.46,97.58,70.96,57.16,86.48,5.55,72.31,82.65,A
student88@university.com,Female,21,65.63,55.13,70.41,51.16,77.03,6.52,67.14,99.55,A
student89@university.com,Female,23,58.72,44.26,85.27,91.26,93.85,5.06,93.03,77.75,C
student90@university.com,Female,20,79.45,69.55,51.35,92.05,91.44,2.57,89.75,54.84,A
student91@university.com,Female,22,62.71,45.13,96.79,87.32,76.59,8.57,99.64,92.68,F
student92@university.com,Female,24,62.95,55.71,60.57,64,53.42,6.58,76.45,56.71,C
student93@university.com,Female,22,74.42,47.56,58.01,81.99,78.3,8.58,78.77,62.86,F
student94@university.com,Male,22,82.63,53.45,81.11,65.81,67.76,2.76,97.33,93.68,B
student95@university.com,Male,23,56.07,46.37,88.33,72.53,77.01,6.37,69.98,62.8,D
student96@university.com,Female,19,58.78,97.23,62.71,69.12,82.36,7.14,77.78,87.25,D
student97@university.com,Female,24,62.36,56.71,84.81,95.68,82.24,3.83,68.95,72.38,C
student98@university.com,Female,22,98.69,66.63,93.02,61.71,83.68,8.12,77.29,87.99,F
student99@university.com,Male,22,69.86,93.92,86.01,78.88,83.96,0.03,54.04,61.62,D
student100@university.com,Male,19,79.95,80.64,42.05,68.05,55.46,5.95,89.19,70.98,C
student101@university.com,Female,23,62.08,77.08,89.64,83.15,59.59,6.14,99.26,65.91,D
student102@university.com,Male,24,74.52,82.33,86.47,78.23,81.53,5.34,53.29,62.45,D
student103@university.com,Female,22,53.71,89.73,80.16,96.2,70.41,6.3,90.05,65.72,A
student104@university.com,Female,21,51.74,92.66,85.6,55.08,88.14,1.67,62.09,66.15,C
student105@university.com,Female,23,73.44,78.56,98.77,61.03,56.25,6.85,59.88,97.77,D
student106@university.com,Female,24,69.93,93.4,65.87,88.32,59.58,3.36,84.67,76.66,C
student107@university.com,Female,22,56.84,72.12,44.03,68.44,77.92,4.52,52.21,73.1,A
student108@university.com,Female,22,84.38,56.64,67.65,58.29,75.04,3.33,73.16,75.17,C
student109@university.com,Female,19,99.65,92.8,42.79,75.17,63.32,4.74,50.07,99.81,A
student110@university.com,Male,24,69.78,72.49,57.66,82.61,70.42,6.22,77.72,82.68,D
student111@university.com,Female,21,81.23,94.37,75.21,52.24,51.75,8.38,73.1,85.17,D
student112@university.com,Male,23,98.15,42.41,58.58,64.58,51.85,4.83,95.77,65.68,D
student113@university.com,Female,20,91.58,63.85,81.12,90.47,54.75,3.23,86.01,73.58,A
student114@university.com,Female,18,73.18,96.87,89.32,76.01,78.84,4.88,56.3,59.2,B
student115@university.com,Male,21,86.87,54.98,65.23,51.77,93.19,6.89,67.73,84.26,A
student116@university.com,Male,20,56.41,96.49,94.01,64.1,63.01,3.47,96.58,67.22,A
student117@university.com,Female,21,75.61,97.23,44.79,81.96,51.7,4.14,86.27,87.41,F
student118@university.com,Male,24,63.95,92.93,90.41,59.97,85.43,5.63,79.71,60.66,D
student119@university.com,Female,20,58.06,73.82,89.71,91.37,92.77,2.94,77.95,70.18,D
student120@university.com,Female,24,71.31,78.82,59.32,83.83,56.91,2.09,69.9,73.56,F
student121@university.com,Male,20,56.55,92.18,57.92,73.57,69.29,1.4,79.26,58.33,B
student122@university.com,Male,21,84.95,86.55,58.31,95.78,57.94,3.53,88.58,53.48,C
student123@university.com,Male,19,72.81,77.81,88.68,69.59,55.32,0.48,56.38,65.85,D
student124@university.com,Male,21,76.56,98.94,89.9,61.75,82.41,5.83,98.49,77.24,D
student125@university.com,Female,24,57.32,81.14,59.78,83.07,98.38,1.76,61.97,82.63,A
student126@university.com,Male,21,56.99,98.53,75.56,78.66,83.91,3.77,72.39,71.26,B
student127@university.com,Male,20,79.17,43.44,48.34,66.76,99.24,2.69,51.14,75.01,B
student128@university.com,Male,18,99.25,48.34,68.13,67.18,71.72,6.3,77.52,77.16,B
student129@university.com,Male,20,54.81,67.09,99.93,69.91,94.89,8.5,69.09,75.6,B
student130@university.com,Male,22,64.29,63.09,49.53,64.56,60.25,6.33,62.49,54.52,F
student131@university.com,Female,21,93.47,86.96,96.85,85.51,55.9,5.43,99.28,70.25,A
student132@university.com,Female,23,53.61,49.64,89.46,82.57,85.13,6.69,71.41,60.22,F
student133@university.com,Male,21,93.79,98.57,98.33,72.04,68.57,0.3,70.71,76.69,F
student134@university.com,Male,19,76.21,58.9,50.77,69.89,65.88,1.23,73.16,87.9,C
student135@university.com,Female,24,70.41,65.74,52.81,68.25,83.56,0.95,55.81,78.97,A
student136@university.com,Male,23,65.48,56.48,41.01,64.17,66.67,0.98,69.65,61.09,B
student137@university.com,Female,20,64.86,74.76,83.48,54.28,78.63,2.6,66.82,60.39,A
student138@university.com,Female,19,65.29,43.52,78.65,63.41,64.97,5.32,73.26,51.85,B
student139@university.com,Male,21,94.24,48.98,50.68,66.06,89.19,1.15,92.83,71.32,C
student140@university.com,Female,20,86.19,84.75,87.47,77.38,65.62,9.35,59.64,71.64,D
student141@university.com,Male,20,83.49,51.19,57.95,88.69,76.75,8.54,80.39,61.82,F
student142@university.com,Male,22,89.94,54.13,48.1,69.79,51.16,9.72,51.88,88.21,C
student143@university.com,Female,22,62.86,87.58,65.35,97.24,89.59,0.43,65.84,69.32,F
student144@university.com,Female,18,80.9,45.6,45.46,91.37,81.02,8.51,73.63,83.47,B
student145@university.com,Male,22,73,66.25,55.79,99.24,59.61,8.04,53.71,82,B
student146@university.com,Female,24,89.12,41.38,62.28,93.81,60.77,9.02,77.2,80.24,C
student147@university.com,Male,23,65.46,60.81,91.11,80.84,63.12,5.28,65.52,95.4,D
student148@university.com,Female,20,82.16,81.94,87.55,79.92,78.83,7.88,99.64,50.79,D
student149@university.com,Female,22,94.11,45.41,66.57,56.48,77.42,0.51,81.55,53.4,F
student150@university.com,Male,18,70.11,93.3,83.47,86.12,63.69,0.76,62.21,86.11,B
student151@university.com,Male,21,53.33,94.57,74.12,80.01,84.7,1.19,55.13,67.68,B
student152@university.com,Male,23,75.8,46.3,60.45,75.35,94.45,9.15,52.04,99.33,D
student153@university.com,Female,22,67.3,99.44,83.55,84.66,52.18,0.61,54.54,60.82,B
student154@university.com,Male,20,83.61,57.85,81.01,72.2,70.86,1,84,59.17,B
student155@university.com,Male,21,97.55,45.05,77.15,76.19,79.68,9.3,92.75,79.41,C
student156@university.com,Female,24,74.28,40.3,77.08,69.92,79.32,1.07,57.84,63.97,D
student157@university.com,Female,20,73.31,64.51,80.98,85.87,50.98,8.7,70.11,67.02,D
student158@university.com,Male,21,82.73,77.79,63.07,93.83,60.53,7.89,67.71,96.05,A
student159@university.com,Male,24,55.17,59.93,92.14,92.04,53.09,0.4,82.23,51.31,D
student160@university.com,Male,24,62.68,90.2,49.74,89.3,78.45,0.22,59.13,76.56,D
student161@university.com,Male,23,95.95,83,93.03,50.69,82.27,5.34,97.67,66.74,A
student162@university.com,Female,20,83.5,61.01,60.54,95.59,57.99,9.97,86.43,67.3,B
student163@university.com,Female,22,50.67,84.06,47.5,63.74,66.65,8.79,97.75,62.39,B
student164@university.com,Male,22,60.23,96.43,76,94.4,66.49,3.1,63.87,56.74,F
student165@university.com,Male,18,84.14,45.59,62.56,59.85,90.99,3.86,79.39,51.72,B
student166@university.com,Male,21,88.22,58.37,88.93,71.98,59.73,3.88,86.61,99.38,D
student167@university.com,Female,18,91.99,67.8,65.85,87.47,77.42,7.34,85.55,83.02,F
student168@university.com,Male,19,64.61,69.88,80.11,82.01,89.15,3.41,51.07,88.86,F
student169@university.com,Male,22,96.55,72.53,58.5,70.8,91.48,1.48,99.91,53.25,B
student170@university.com,Female,21,77.65,58.04,52.57,83.93,83.33,7.47,96.4,50.74,F
student171@university.com,Female,23,84.83,80.04,63.28,77.45,64.98,4.58,55.99,80.01,A
student172@university.com,Male,18,79.84,78.71,76.41,63.79,91.15,0.77,77.18,86.19,F
student173@university.com,Male,23,56.14,74.67,79.42,82.32,87.11,7.9,65.73,69.74,C
student174@university.com,Female,23,98.16,46.83,74.69,60.21,85.22,5.85,93.94,69.39,A
student175@university.com,Male,23,56.14,68.62,99.28,84.7,53.37,4.89,84.88,69.22,D
student176@university.com,Male,18,62.74,61.37,81.47,50.16,52.16,6.73,61.18,57.64,B
student177@university.com,Female,19,90.68,69.46,95.89,77.44,84.77,5.05,51.69,87.7,B
student178@university.com,Female,24,80.93,95.31,47.08,70.05,97.24,6.48,64.59,60.76,C
student179@university.com,Female,24,91.91,68.83,43.68,65.16,88.69,8.67,51.91,66.22,B
student180@university.com,Male,18,75.79,40.84,58.66,75.79,91.57,6.14,57.07,83.56,D
student181@university.com,Female,24,68.85,66.33,48.2,82.27,77.25,6.6,81.81,50.01,F
student182@university.com,Female,20,96.09,89.24,71.55,98.27,65.23,6.14,87.25,88.31,B
student183@university.com,Male,24,51.81,86.8,71.14,91.65,83.89,5.31,73.4,94.95,D
student184@university.com,Male,22,92.81,70.8,74.5,85.86,85.6,1.72,80.01,52.58,A
student185@university.com,Female,18,61.54,54.99,84.71,73.95,83.77,3.36,57.79,79.58,D
student186@university.com,Female,24,92.44,67.91,98.28,69.61,97.34,6.93,65.84,70.42,C
student187@university.com,Male,18,56.96,73.82,92.7,51.63,68.36,4.25,85.64,53.92,D
student188@university.com,Male,19,79.01,99.99,47.1,67.95,51.98,4.06,68.24,84.11,B
student189@university.com,Female,20,94.41,78.65,60.31,92.42,95.42,7.59,67.44,80.62,F
student190@university.com,Female,18,73.68,81.66,55.35,69.2,58.02,0.06,59.7,82.13,D
student191@university.com,Male,22,87.33,69.49,50.61,73.08,84.87,6.79,79.74,90.67,C
student192@university.com,Female,24,90.23,61.27,72.68,63.59,93.66,4.89,90.48,64.35,A
student193@university.com,Male,22,86.82,88.78,73.2,63.71,65.51,3.77,73.47,83.85,C
student194@university.com,Female,24,96.27,69.7,53.63,53.09,91.52,3.41,55.78,87.17,A
student195@university.com,Male,18,72.34,99.68,82.71,80.69,66.6,1.73,91.92,58.44,D
student196@university.com,Male,23,58.66,67.43,83.97,72.4,89.71,3.34,53.57,97.85,F
student197@university.com,Female,24,52.39,44.08,41.26,80.3,53.49,3.91,73.59,67,C
student198@university.com,Female,23,62.32,80.95,63.75,77.34,82.76,4.37,63.05,85.69,F
student199@university.com,Male,20,57.16,42.8,93.41,89.94,83.86,6.72,96.82,87.7,D
student200@university.com,Female,22,77.9,55.03,71.22,87.55,74.57,4.54,86.88,75.2,F
student201@university.com,Female,23,59.25,61.22,60.86,88.57,84.35,7.96,78.32,56.44,F
student202@university.com,Female,22,51.95,84.37,55.22,74.96,96.16,6.4,83.39,63.78,C
student203@university.com,Male,24,51.8,69.65,54.6,67.69,86.69,1.9,76.64,61.71,D
student204@university.com,Female,24,91.58,41.72,45.99,96.67,98.06,2.77,57.38,75.93,F
student205@university.com,Female,20,79.57,77.01,89.03,52.71,72.43,0.79,85.45,63.06,A
student206@university.com,Male,24,67.9,64.69,45.2,57.63,76.41,9.46,74.63,77.34,B
student207@university.com,Female,20,94.71,95.31,57.54,70.98,63.19,8.87,81.72,64.41,A
student208@university.com,Female,23,53.51,69.97,42.74,80.7,99.28,0.85,52.26,50.05,F
student209@university.com,Male,24,99.02,82.54,86.88,50.41,52.76,5.74,57.1,68.16,D
student210@university.com,Male,18,80.81,53.13,42.36,85.97,67.93,9.6,79.47,80.34,A
student211@university.com,Female,21,59.17,85.66,58.5,77.94,64.88,7.47,72.97,88.68,D
student212@university.com,Female,19,83.95,83.26,74.4,74.24,69.33,4.92,61.34,51.42,A
student213@university.com,Male,21,88.17,94.24,64.57,71.17,95.89,2.41,62.04,62.92,D
student214@university.com,Male,21,71.47,42.03,56.94,75.97,68.4,2.79,81.58,99.27,F
student215@university.com,Female,22,93.08,66.85,56.51,58.09,95.85,7.36,52.95,63.09,C
student216@university.com,Female,20,57.54,80.75,87.87,55.44,71.17,7.81,71.71,88.86,A
student217@university.com,Female,22,63.94,45.71,98.44,64.48,92.74,5.29,76.16,75.47,D
student218@university.com,Male,23,54.67,64.64,60.88,85.48,76.09,1.21,65.41,56.11,A
student219@university.com,Female,19,60.54,96.53,42.35,79.41,65.57,9.34,91.03,82.17,D
student220@university.com,Male,23,61.94,66.16,42.19,74.01,72.47,8.45,52.84,98.32,D
student221@university.com,Male,18,95.88,99.12,85.55,78.58,71.22,1.41,93.29,94.34,C
student222@university.com,Male,19,53.91,43.41,73.14,77.96,63,0.57,86.16,84.51,D
student223@university.com,Female,22,71.37,83.07,87.02,65.35,64.48,5.36,72.31,75.61,A
student224@university.com,Female,24,76.62,74.86,81.85,54.87,59.32,2.84,96.22,65.97,F
student225@university.com,Female,24,94.93,70.03,94.45,94.84,66.8,2.83,85.11,67.85,B
student226@university.com,Male,22,99.88,98.25,93.15,80,81.22,0.87,96.55,67.31,D
student227@university.com,Female,23,87.67,47.78,87.3,84.89,69.33,9.53,73.63,96.1,B
student228@university.com,Male,22,98.54,93.76,68.51,73.2,85.62,8.3,72.65,60.57,F
student229@university.com,Male,22,89.36,81.47,58.49,87.82,99.35,1.14,76.54,68.9,B
student230@university.com,Male,21,98.16,55.54,70.42,79.22,68.86,8.77,53.27,71.6,D
student231@university.com,Male,18,85.36,94.1,70.12,52.69,73.13,6.83,95.42,70.45,A
student232@university.com,Male,24,53.99,65.76,76.62,94.5,58.21,3.25,83.39,50.21,C
student233@university.com,Male,21,70.1,88.85,51.17,65.28,69.61,8.71,80.88,63.55,D
student234@university.com,Female,22,82.33,63.33,79.34,56.89,86.34,5.98,96.32,74.93,D
student235@university.com,Male,20,67.54,91.06,67.4,54.4,60.87,8.49,99.68,88.02,C
student236@university.com,Female,21,63.67,78.2,77.21,86.02,59.1,4.69,58.17,78.47,C
student237@university.com,Male,22,78.87,48.46,54.38,85.2,68.82,5.01,87.45,69.24,C
student238@university.com,Female,24,96.68,78.98,66.06,85.01,90.93,2.91,79,83.26,C
student239@university.com,Female,22,51.75,51.48,52.61,95.79,81.18,3.88,73.05,83.29,C
student240@university.com,Female,18,88.46,64.72,92.52,67.45,97.88,5.68,98.88,62.4,D
student241@university.com,Female,23,86.14,50.22,69.28,78.06,95.23,9.47,92.51,55.19,B
student242@university.com,Male,19,98.2,41.32,53.5,80.97,57.56,6,84.84,90.16,A
student243@university.com,Male,21,96.54,52.71,42.47,98.97,52.13,1.47,69.13,76.49,D
student244@university.com,Male,21,88.11,72.18,80.54,65.62,69.95,0.07,83.3,58.83,F
student245@university.com,Male,21,76.02,68.89,52.88,97.82,76.1,8.51,76.58,63.1,D
student246@university.com,Female,22,60.21,70.09,99.37,57.44,75.78,3.64,62.47,88.32,D
student247@university.com,Female,18,77.26,54.86,72.02,88.2,56.71,3.15,72.52,82.66,B
student248@university.com,Female,22,88.27,81.11,57.34,81.64,56.24,8.01,60.61,97.26,C
student249@university.com,Male,22,94.78,82.26,79.46,90.84,52.34,9.45,75.02,73.25,F
student250@university.com,Female,23,89.49,61.48,56.51,51.43,92.54,7.48,86.01,52.61,B
student251@university.com,Male,20,59.76,92.87,89.22,53.91,97.39,1.74,51.83,85.02,A
student252@university.com,Female,18,79.98,78.64,58.49,53.48,55.78,3.91,88.27,62.75,F
student253@university.com,Female,21,66.61,82.78,99.29,79.65,60.66,7.59,51,66.19,F
student254@university.com,Female,19,50.46,56.64,76.31,80.15,54.49,9.07,75.86,59.83,B
student255@university.com,Female,21,60.01,40.04,90.66,95.31,93.88,9.99,78.67,65.45,F
student256@university.com,Female,22,55.66,91.92,44.37,73.38,97.94,5.12,88.06,91.47,D
student257@university.com,Male,18,92.14,89.35,60.9,53.4,63.09,8.23,88.05,78.84,D
student258@university.com,Female,24,62.93,47.39,84.25,60.48,65.18,0.47,70.87,55.46,C
student259@university.com,Male,18,64.23,62.45,79.3,50.4,68.13,2.86,53.32,79.33,B
student260@university.com,Male,18,98,79.68,51.65,88.84,75.12,3.72,84.68,81.68,D
student261@university.com,Male,20,68.95,79.13,61.37,90.78,84.12,9.76,75.55,94.24,F
student262@university.com,Male,21,50.48,91.62,55.81,99.9,75.22,0.03,66.65,92.98,F
student263@university.com,Male,20,64.19,48.42,76.8,70.61,97.55,3.08,61.74,53.14,D
student264@university.com,Male,24,55.96,65.8,60.67,50.96,54.99,9.3,55.99,93.33,B
student265@university.com,Male,24,55.14,45.83,58.54,61.74,89.93,3.07,64.76,52.54,B
student266@university.com,Male,23,53.87,63.38,52.44,79.39,66.72,2.25,72.92,57.71,A
student267@university.com,Female,19,79.66,40.91,64.54,98.1,68.88,7.3,73.88,55.58,B
student268@university.com,Female,23,59.47,93.9,51.73,55.18,85.44,7.45,79.14,59.08,D
student269@university.com,Male,22,68.06,71.62,97.75,56.08,96.47,4.72,68.12,90.16,A
student270@university.com,Male,20,93.1,90.99,49.27,85.09,85.81,9.47,95.99,84.31,F
student271@university.com,Male,20,71.22,43.59,94.8,83.36,88.79,2.03,74.79,84.35,D
student272@university.com,Female,23,95.78,53.65,65.71,62.53,87.54,9.13,71.19,96.11,C
student273@university.com,Female,22,74.9,55.56,62.67,90.66,66.05,7.56,52.41,69.59,C
student274@university.com,Male,18,69.94,63.2,53.88,56.44,87.85,3.68,79.95,50.16,B
student275@university.com,Male,22,87.52,88.17,78.15,96.29,89.23,8.07,80.14,81.99,A
student276@university.com,Female,21,53.66,63.19,81.13,60.05,76.67,1.33,79.16,93.4,A
student277@university.com,Female,23,54.47,52.28,68.05,54.07,76.84,1.31,94.38,98.81,F
student278@university.com,Male,22,82.6,43.9,43.34,66.98,87.99,9.3,88.15,68.19,B
student279@university.com,Male,18,74.35,44.77,95.11,59.39,90.85,0.95,93.37,91.11,A
student280@university.com,Male,22,89.52,85.6,98.82,76.35,66.86,0.04,52.97,92.46,D
student281@university.com,Male,20,95.81,66.69,65.86,84.34,90.08,3.89,65.91,57.22,F
student282@university.com,Female,19,69.42,83.57,76.82,74.55,90.71,1.04,65.94,81.57,A
student283@university.com,Female,20,79.82,80.94,67.02,83.03,61.71,8.63,82.85,58.66,C
student284@university.com,Male,24,75.03,48.12,59.31,68.25,85.85,9.23,72.43,72.33,C
student285@university.com,Male,19,99.08,48.57,44.64,51.4,59.33,4.82,88.87,93.96,A
student286@university.com,Male,24,91.55,85.32,67.36,98.7,54.65,4.25,69.22,89.47,C
student287@university.com,Female,22,95.59,83.28,89.1,90.97,78.73,5.39,61.08,78.52,D
student288@university.com,Male,21,62.72,62.68,41.02,53.67,95.43,2.26,64.55,90.44,F
student289@university.com,Male,22,88.63,44.65,74.93,72.46,51.77,2.98,59.12,57.64,D
student290@university.com,Male,18,63.27,40.73,92.85,81.75,91.33,1.01,59.89,59.75,C
student291@university.com,Female,22,60.44,57.29,53.05,59.53,75.32,4.46,60.84,60.44,A
student292@university.com,Male,19,97.21,40.55,51,78.9,93.04,6.12,50.8,88.8,A
student293@university.com,Female,20,50.97,53.8,86.34,76.68,92.17,9.3,85.8,94.55,F
student294@university.com,Male,21,98.27,65.17,55.31,60.41,93.76,7.39,69.98,78.14,C
student295@university.com,Male,24,57.46,47.28,51.52,57.06,88.44,7.23,51.13,97.9,C
student296@university.com,Male,22,90.97,46.26,62.68,87.95,92.15,3.08,68.5,86.4,C
student297@university.com,Female,22,63.8,93.79,63.55,66.13,58.8,8.88,95.27,78.18,B
student298@university.com,Male,20,67.54,75.13,92.45,62.2,65.19,9.47,75.56,80.58,A
student299@university.com,Male,21,60.84,96.07,77.11,86.89,62.12,9.32,99.34,92.48,C
student300@university.com,Female,23,79.28,60.75,64.36,86.8,87.12,0.39,77,54.51,F
student301@university.com,Female,24,67.4,80.63,72.06,63.82,57.68,6.04,98.14,58.4,B
